created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,text
2009-02-28 02:09:04+00:00,1260701793,-76.61219000000001,39.290380000000006,Weather Extremes,0.07335428893566132,neutral,male,3.7955613,not aggressive,@JesseNewhart So is global warming...
2009-02-28 03:07:48+00:00,1260865706,-74.00596999999998,40.714270000000006,Donald Trump versus Science,0.1696099904537201,neutral,male,4.1389227,aggressive,"Just got a climate change email from a ""Left Behind"" crazy. Haven't gotten one in a while, so it made for a good chuckle."
2009-02-28 04:52:36+00:00,1261134492,-84.58243,33.818720000000006,Weather Extremes,0.2671681672334671,denier,male,4.266405000000002,not aggressive,@teamsoteria rofl:)  LA Clippers' NBA dynasty would fit in with the global warming trend & conspiracy theories for sure though:)
2009-02-28 08:32:31+00:00,1261534097,-122.41990609999999,37.7790262,Donald Trump versus Science,-0.32397096202373504,believer,male,0.68496,not aggressive,RT @nature_org Reducing flatulence in livestock to reduce global warming? (video) http://tinyurl.com/d66rw8 Check out my comment on article
2009-02-28 10:31:44+00:00,1261701189,-71.53757,43.20814,Global stance,-0.39852114021778107,neutral,male,4.2785807,not aggressive,Blogged on climate change: http://tinyurl.com/bonx2x
2009-02-28 12:04:07+00:00,1261831137,-0.4675041,52.136380599999995,Global stance,0.7784714743932087,believer,male,2.3161982999999995,aggressive,Working with the Observer on a big climate change story - should be a great piece - thanks to Robin McKie
2009-02-28 13:24:20+00:00,1261964804,-84.5553805,42.73377120000001,Donald Trump versus Science,-0.5125087469339371,neutral,female,-3.712077,aggressive,http://is.gd/ld9b Protesters at Capitol against bailouts. http://is.gd/5gH5 Sponsors recently protested against Al Gore/global warming in DC
2009-02-28 15:23:55+00:00,1262235147,-92.1012678,37.123940999999995,Weather Extremes,0.6682950387001038,neutral,female,-5.1802497,aggressive,"I can't believe it's snowing, I am so ready for spring. Where is my global warming when I need it."
2009-02-28 15:38:59+00:00,1262276039,-119.29317,34.27834,Significance of Pollution Awareness Events,-0.005417963298161833,believer,male,2.7931535,not aggressive,@jenmccabegorman  weight loss surgery is another way to help the environment - less global warming.
2009-02-28 15:58:50+00:00,1262330981,-79.99008609999998,40.4416941,Global stance,0.45011670887470245,believer,female,1.5140858999999998,aggressive,"As individuals, consumers, taxpayers how can we change food consumption habits in the US in relation to climate change? #powershift09"
2009-02-28 16:55:33+00:00,1262494579,-0.2577189,52.61030129999999,Donald Trump versus Science,-0.6474853541877534,believer,male,2.3161982999999995,not aggressive,has just read Prof Chris Fields comments about global warming being much worse than previously believed!
2009-02-28 18:14:45+00:00,1262736120,-118.24368000000001,34.05223,Importance of Human Intervantion,0.5146919263839722,believer,male,3.4214425000000004,not aggressive,"Turn out the lights, support the World Wildlife Fund, and show your concern for global warming with Earth Hour on 3/28 www.earthhourus.org"
2009-02-28 19:00:20+00:00,1262873490,-105.93780000000001,35.686980000000005,Global stance,0.1460649566411972,believer,female,0.0025175025,not aggressive,"Catching up on the Will/Gore/Revkin dialogue on climate change. People spoil for a fight, but we should aim for solutions instead."
2009-02-28 19:43:06+00:00,1263002174,-80.05476,37.293470000000006,Importance of Human Intervantion,-0.4481185708999634,denier,male,3.5706599000000003,not aggressive,http://twitpic.com/1r8ad - Hundreds attend global warming protest...
2009-02-28 20:17:56+00:00,1263101980,-84.55553,42.732530000000004,Donald Trump versus Science,-0.2844851359627464,neutral,male,-3.712077,aggressive,"Ann McElhinney and Phelim McAleer are showing clips from their new global warming film Not Evil, Just Wrong #CPAC09 #TCOT"
2009-02-28 20:51:55+00:00,1263198293,-122.33207000000002,47.606210000000004,Importance of Human Intervantion,0.026247918605804443,believer,male,-1.537834,aggressive,"""March 2 in DC will mark the first mass civil disobedience on climate change in US history"" - Bill McKibben http://is.gd/lfer #climateaction"
