created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,text,Full_Address,City,Continent,Country,State
2008-08-03 04:33:08+00:00,876144589,-121.98857,37.54827,Weather Extremes,-0.4864437907934189,denier,male,-0.58877933,not aggressive,"@glenngutierrez If there is this ""global warming"", why has it been so chilly lately? I am starting to believe that the Earth is indeed...","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'transportation', '_normalized_city': 'Fremont', '_type': 'fuel', 'city': 'Fremont', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Alameda County', 'fuel': 'Valero', 'house_number': '4004', 'postcode': '94536', 'road': 'Mowry Avenue', 'state': 'California', 'state_code': 'CA', 'suburb': 'Centerville District'}",Fremont,North America,United States,California
2008-08-03 05:33:47+00:00,876174970,-121.899142,37.6090291,Global stance,0.5563055354833603,believer,male,-0.58877933,aggressive,@barackobama please make climate change a central topic in your talks and campaigns!,"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'road', '_normalized_city': 'Sunol', '_type': 'road', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Alameda County', 'hamlet': 'Sunol', 'postcode': '94586', 'road': 'Kilkare Road', 'state': 'California', 'state_code': 'CA'}",Not Found,North America,United States,California
2008-08-03 13:20:12+00:00,876358774,-0.12574,51.50853000000001,Global stance,0.3864839822053909,believer,male,-0.3287732,not aggressive,Traditional forests endangered by climate change and disease http://tinyurl.com/6etlc8,"{'ISO_3166-1_alpha-2': 'GB', 'ISO_3166-1_alpha-3': 'GBR', 'ISO_3166-2': ['GB-ENG'], '_category': 'commerce', '_normalized_city': 'London', '_type': 'restaurant', 'city': 'London', 'city_district': 'City of Westminster', 'continent': 'Europe', 'country': 'United Kingdom', 'country_code': 'gb', 'county': 'Westminster', 'county_code': 'WSM', 'house_number': '450', 'neighbourhood': 'Seven Dials', 'postcode': 'WC2R 0RG', 'restaurant': 'PizzaExpress', 'road': 'Strand', 'state': 'England', 'state_code': 'ENG', 'state_district': 'Greater London', 'suburb': 'Covent Garden'}",London,Europe,United Kingdom,England
2008-08-03 15:58:23+00:00,876451814,139.69171,35.6895,Weather Extremes,-0.5358589735746384,neutral,male,3.209628,not aggressive,"You don't sound intelligent when you blame every fire, hurricane, and flood on global warming. http://tinyurl.com/6rlgaa","{'ISO_3166-1_alpha-2': 'JP', 'ISO_3166-1_alpha-3': 'JPN', '_category': 'government', '_normalized_city': 'Shinjuku', '_type': 'townhall', 'city': 'Shinjuku', 'continent': 'Asia', 'country': 'Japan', 'country_code': 'jp', 'neighbourhood': 'Nishi Shinjuku 2', 'postcode': '163-8001', 'quarter': 'Nishi-Shinjuku', 'road': 'Tocho-dori Ave.', 'suburb': 'Nishi Shinjuku', 'townhall': 'Tokyo Metropolitan Government Office'}",Shinjuku,Asia,Japan,Not Found
2008-08-03 16:00:18+00:00,876453034,-116.200886,43.6166163,Donald Trump versus Science,0.2231904092232386,denier,female,-0.8658021999999999,aggressive,"check out Kevin Ferris's column on bring back the 70's energy style
Oh, we can safely say that global warming is NOT man made!","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-ID'], '_category': 'road', '_normalized_city': 'Boise', '_type': 'road', 'city': 'Boise', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Ada County', 'neighbourhood': 'Downtown', 'postcode': '83720', 'road': 'North Capitol Boulevard', 'road_type': 'tertiary', 'state': 'Idaho', 'state_code': 'ID'}",Boise,North America,United States,Idaho
2008-08-03 16:19:52+00:00,876465501,-1.0214971168122484,53.14592879999999,Impact of Resource Overconsumption,-0.4207115356683731,believer,male,0.16111468,not aggressive,Yet another movie about global warming. Just watching Burn Up.,"{'ISO_3166-1_alpha-2': 'GB', 'ISO_3166-1_alpha-3': 'GBR', 'ISO_3166-2': ['GB-ENG', 'GB-NTT'], '_category': 'natural/water', '_normalized_city': 'Newark and Sherwood', '_type': 'mine', 'city': 'Newark and Sherwood', 'continent': 'Europe', 'country': 'United Kingdom', 'country_code': 'gb', 'county': 'Nottinghamshire', 'county_code': 'NTT', 'mine': 'Bilsthorpe Colliery', 'postcode': 'NG22 8UA', 'road': 'Brailwood Road', 'state': 'England', 'state_code': 'ENG', 'village': 'Bilsthorpe CP'}",Newark and Sherwood,Europe,United Kingdom,England
2008-08-03 19:53:23+00:00,876593193,-98.49363,29.42412,Weather Extremes,-0.6249674114121331,believer,male,1.2783958999999998,aggressive,"106 degrees outside. Screw Texas, man! No wonder the Christian stronghold down here says there is no global warming. Their brains are fried!","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-TX'], '_category': 'road', '_normalized_city': 'San Antonio', '_type': 'road', 'city': 'San Antonio', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Bexar County', 'quarter': 'Downtown', 'road': 'unnamed road', 'road_type': 'pedestrian', 'state': 'Texas', 'state_code': 'TX'}",San Antonio,North America,United States,Texas
2008-08-03 22:21:19+00:00,876677228,-112.07404,33.44838,Weather Extremes,-0.3754735823154449,denier,male,0.8492402,aggressive,"@bigshow Aren't you leaving out a step? Abortion angers god, god causes global warming?","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-AZ'], '_category': 'building', '_normalized_city': 'Phoenix', '_type': 'building', 'city': 'Phoenix', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Maricopa County', 'house_number': '2', 'postcode': '85003', 'road': 'North Central Avenue', 'state': 'Arizona', 'state_code': 'AZ'}",Phoenix,North America,United States,Arizona
2008-08-04 03:05:28+00:00,876854338,-86.621443,36.3049177,Weather Extremes,0.5970792098283768,neutral,male,-0.380226,not aggressive,"@TransparentJ Oh yes, I knew when y'all got back as there were issues with global warming around here.  Just kidding....love ya' man...","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-TN'], '_category': 'road', '_normalized_city': 'Hendersonville', '_type': 'road', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Sumner County', 'hamlet': 'Nokes Heights', 'postcode': '37075', 'region': 'Middle Tennessee', 'road': 'West Main Street', 'road_reference': 'US 31E', 'road_type': 'primary', 'state': 'Tennessee', 'state_code': 'TN', 'town': 'Hendersonville'}",Not Found,North America,United States,Tennessee
2008-08-04 03:44:35+00:00,876879598,150.89385,-34.4243941,Weather Extremes,0.0198654397116767,neutral,male,-1.489485,not aggressive,@LouisColumbus Lucky you saw it before global warming kicks in :-(,"{'ISO_3166-1_alpha-2': 'AU', 'ISO_3166-1_alpha-3': 'AUS', 'ISO_3166-2': ['AU-NSW'], '_category': 'commerce', '_normalized_city': 'Wollongong City Council', '_type': 'shop', 'city': 'Wollongong City Council', 'continent': 'Oceania', 'country': 'Australia', 'country_code': 'au', 'house_number': '200', 'postcode': '2500', 'road': 'Crown Street Mall', 'shop': 'Wollongong Central', 'state': 'New South Wales', 'state_code': 'NSW', 'suburb': 'Wollongong'}",Wollongong City Council,Oceania,Australia,New South Wales
2008-08-04 03:44:43+00:00,876879687,-87.6244212,41.87556160000001,Significance of Pollution Awareness Events,0.0600618691603342,neutral,female,0.18606664,aggressive,"feels like a jackass driving a Toyota Landcruiser around LA while drinking out of her ""stop global warming"" Sigg bottle. Thanks, Avis!","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-IL'], '_category': 'travel/tourism', '_normalized_city': 'Chicago', '_type': 'hotel', 'city': 'Chicago', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Cook County', 'hotel': 'Congress Plaza Hotel', 'house_number': '520', 'neighbourhood': ""Printer's Row"", 'postcode': '60605', 'quarter': 'Loop', 'road': 'South Michigan Avenue', 'state': 'Illinois', 'state_code': 'IL'}",Chicago,North America,United States,Illinois
2008-08-04 04:06:37+00:00,876893145,-92.5617875,38.7604815,Significance of Pollution Awareness Events,0.4204310774803161,neutral,male,3.4146352,aggressive,Check out Nancy Duarte's slide:ology website and forthcoming book www.slideology.com (her team work w/ Gore on his climate change slideshow),"{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-MO'], '_category': 'road', '_type': 'road', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'Moniteau County', 'road': 'unnamed road', 'road_type': 'residential', 'state': 'Missouri', 'state_code': 'MO'}",Not Found,North America,United States,Missouri
2008-08-04 05:25:07+00:00,876936952,-120.65962,35.28275,Seriousness of Gas Emissions,0.0991480217933654,neutral,male,-0.030220758,not aggressive,"@rgspro: Well, if global warming continues...","{'ISO_3166-1_alpha-2': 'US', 'ISO_3166-1_alpha-3': 'USA', 'ISO_3166-2': ['US-CA'], '_category': 'building', '_normalized_city': 'San Luis Obispo', '_type': 'building', 'city': 'San Luis Obispo', 'continent': 'North America', 'country': 'United States', 'country_code': 'us', 'county': 'San Luis Obispo County', 'house_number': '1100', 'neighbourhood': 'Downtown', 'postcode': '93410', 'road': 'Monterey Street', 'state': 'California', 'state_code': 'CA'}",San Luis Obispo,North America,United States,California
2008-08-04 07:58:49+00:00,877009954,100.50144,13.75398,Weather Extremes,0.5974953452825547,neutral,male,0.3665209,not aggressive,For the time being I'm in global warming awareness mode.  So I drive for maximum fuel efficiency.  18.7 km / liter last trip.,"{'ISO_3166-1_alpha-2': 'TH', 'ISO_3166-1_alpha-3': 'THA', 'ISO_3166-2': ['TH-10'], '_category': 'building', '_normalized_city': 'Bangkok', '_type': 'building', 'city': 'Bangkok', 'continent': 'Asia', 'country': 'Thailand', 'country_code': 'th', 'office': 'Bangkok City Hall', 'postcode': '10200', 'quarter': 'Sao Chingcha Subdistrict', 'road': 'Siriphong Road', 'suburb': 'Phra Nakhon District'}",Bangkok,Asia,Thailand,Not Found
2008-08-04 08:20:00+00:00,877020072,-0.1276474,51.5073219,Importance of Human Intervantion,0.3947146832942962,neutral,male,-1.1666068,not aggressive,Lord Nelson and Captain Cook's shiplogs question climate change theories http://tinyurl.com/6xnfqk,"{'ISO_3166-1_alpha-2': 'GB', 'ISO_3166-1_alpha-3': 'GBR', 'ISO_3166-2': ['GB-ENG', 'GB-WSM'], '_category': 'road', '_normalized_city': 'London', '_type': 'road', 'city': 'London', 'city_district': 'City of Westminster', 'continent': 'Europe', 'country': 'United Kingdom', 'country_code': 'gb', 'county': 'Westminster', 'county_code': 'WSM', 'neighbourhood': ""St. James's"", 'postcode': 'SW1A 2DX', 'road': 'Charing Cross', 'state': 'England', 'state_code': 'ENG', 'state_district': 'Greater London', 'suburb': 'Covent Garden'}",London,Europe,United Kingdom,England
2008-08-04 12:45:59+00:00,877167059,-3.1791934,51.48165460000001,Global stance,0.7493396720886231,neutral,male,-0.86025894,not aggressive,nice climate change graphage,"{'ISO_3166-1_alpha-2': 'GB', 'ISO_3166-1_alpha-3': 'GBR', 'ISO_3166-2': ['GB-WLS', 'GB-CRF'], '_category': 'road', '_normalized_city': 'Cardiff', '_type': 'road', 'city': 'Cardiff', 'continent': 'Europe', 'country': 'United Kingdom', 'country_code': 'gb', 'county': 'Cardiff', 'county_code': 'CRF', 'neighbourhood': 'Castle Quarter', 'postcode': 'CF10 1AY', 'road': 'Kingsway', 'road_reference': 'A4161', 'road_type': 'primary', 'state': 'Wales', 'state_code': 'WLS', 'suburb': 'Castle'}",Cardiff,Europe,United Kingdom,Wales
